Conference,Year,Filename,Title,Authors,Category,PDF_URL
AAAI,2018,urban_dreams_of_migrants_a_case_study_of_migrant_integration_in_shanghai__ed3bab97.pdf,Urban Dreams of Migrants: A Case Study of Migrant Integration in Shanghai,"Yang Yang, Chenhao Tan, Zongtao Liu, Fei Wu, Yueting Zhuang",AAAI Technical Track: AI and the Web,https://cdn.aaai.org/ojs/11269/11269-13-14797-1-2-20201228.pdf
AAAI,2018,early_detection_of_fake_news_on_social_media_through_propagation_path_classification_with_recurrent_and_convolutional_networks__301219f6.pdf,Early Detection of Fake News on Social Media Through Propagation Path Classification with Recurrent and Convolutional Networks,"Yang Liu, Yi-Fang Wu",AAAI Technical Track: AI and the Web,https://cdn.aaai.org/ojs/11268/11268-13-14796-1-2-20201228.pdf
AAAI,2018,structural_deep_embedding_for_hypernetworks__cb9f4855.pdf,Structural Deep Embedding for Hyper-Networks,"Ke Tu, Peng Cui, Xiao Wang, Fei Wang, Wenwu Zhu",AAAI Technical Track: AI and the Web,https://cdn.aaai.org/ojs/11266/11266-13-14794-1-2-20201228.pdf
AAAI,2018,deep_asymmetric_transfer_network_for_unbalanced_domain_adaptation__3176dfe2.pdf,Deep Asymmetric Transfer Network for Unbalanced Domain Adaptation,"Daixin Wang, Peng Cui, Wenwu Zhu",AAAI Technical Track: AI and the Web,https://cdn.aaai.org/ojs/11267/11267-13-14795-1-2-20201228.pdf
AAAI,2018,towards_efficient_detection_of_overlapping_communities_in_massive_networks__b8ed853c.pdf,Towards Efficient Detection of Overlapping Communities in Massive Networks,"Bing-Jie Sun, Huawei Shen, Jinhua Gao, Wentao Ouyang, Xueqi Cheng",AAAI Technical Track: AI and the Web,https://cdn.aaai.org/ojs/11265/11265-13-14793-1-2-20201228.pdf
AAAI,2018,vseens_visualsemantic_embeddings_with_efficient_negative_sampling__b01811d7.pdf,VSE-ens: Visual-Semantic Embeddings with Efficient Negative Sampling,"Guibing Guo, Songlin Zhai, Fajie Yuan, Yuan Liu, Xingwei Wang",AAAI Technical Track: AI and the Web,https://cdn.aaai.org/ojs/11279/11279-13-14807-1-2-20201228.pdf
AAAI,2018,contrastive_training_for_models_of_information_cascades__1e35417b.pdf,Contrastive Training for Models of Information Cascades,"Shaobin Xu, David Smith",AAAI Technical Track: AI and the Web,https://cdn.aaai.org/ojs/11270/11270-13-14798-1-2-20201228.pdf
AAAI,2018,community_detection_in_attributed_graphs_an_embedding_approach__91f737cd.pdf,Community Detection in Attributed Graphs: An Embedding Approach,"Ye Li, Chaofeng Sha, Xin Huang, Yanchun Zhang",AAAI Technical Track: AI and the Web,https://cdn.aaai.org/ojs/11274/11274-13-14802-1-2-20201228.pdf
AAAI,2018,retrieving_and_classifying_affective_images_via_deep_metric_learning__b580884c.pdf,Retrieving and Classifying Affective Images via Deep Metric Learning,"Jufeng Yang, Dongyu She, Yu-Kun Lai, Ming-Hsuan Yang",AAAI Technical Track: AI and the Web,https://cdn.aaai.org/ojs/11275/11275-13-14803-1-2-20201228.pdf
AAAI,2018,binary_generative_adversarial_networks_for_image_retrieval__1b49bd50.pdf,Binary Generative Adversarial Networks for Image Retrieval,"Jingkuan Song, Tao He, Lianli Gao, Xing Xu, Alan Hanjalic, Heng Tao Shen",AAAI Technical Track: AI and the Web,https://cdn.aaai.org/ojs/11276/11276-13-14804-1-2-20201228.pdf
