Conference,Year,Filename,Title,Authors,Category,PDF_URL
ICLR,2020,learning_to_learn_by_zerothorder_oracle__7132f49f.pdf,Learning to Learn by Zeroth-Order Oracle,"Yangjun Ruan, Yuanhao Xiong, Sashank Reddi, Sanjiv Kumar, Cho-Jui Hsieh",Accept (Poster),https://openreview.net/pdf?id=ryxz8CVYDH
ICLR,2020,pay_attention_to_features_transfer_learn_faster_cnns__fc0c08bc.pdf,"Pay Attention to Features, Transfer Learn Faster CNNs","Kafeng Wang, Xitong Gao, Yiren Zhao, Xingjian Li, Dejing Dou, Cheng-Zhong Xu",Accept (Poster),https://openreview.net/pdf?id=ryxyCeHtPB
ICLR,2020,diverse_trajectory_forecasting_with_determinantal_point_processes__426deefa.pdf,Diverse Trajectory Forecasting with Determinantal Point Processes,"Ye Yuan, Kris M. Kitani",Accept (Poster),https://openreview.net/pdf?id=ryxnY3NYPS
ICLR,2020,symplectic_odenet_learning_hamiltonian_dynamics_with_control__3e9b43ea.pdf,Symplectic ODE-Net: Learning Hamiltonian Dynamics with Control,"Yaofeng Desmond Zhong, Biswadip Dey, Amit Chakraborty",Accept (Poster),https://openreview.net/pdf?id=ryxmb1rKDS
ICLR,2020,neural_symbolic_reader_scalable_integration_of_distributed_and_symbolic_representations_for_reading_comprehension__d739b666.pdf,Neural Symbolic Reader: Scalable Integration of Distributed and Symbolic Representations for Reading Comprehension,"Xinyun Chen, Chen Liang, Adams Wei Yu, Denny Zhou, Dawn Song, Quoc V. Le",Accept (Spotlight),https://openreview.net/pdf?id=ryxjnREFwH
ICLR,2020,neurquri_neural_question_requirement_inspector_for_answerability_prediction_in_machine_reading_comprehension__a4769aa4.pdf,NeurQuRI: Neural Question Requirement Inspector for Answerability Prediction in Machine Reading Comprehension,"Seohyun Back, Sai Chetan Chinthakindi, Akhil Kedia, Haejun Lee, Jaegul Choo",Accept (Poster),https://openreview.net/pdf?id=ryxgsCVYPr
ICLR,2020,reinforcement_learning_with_competitive_ensembles_of_informationconstrained_primitives__8e68a2b6.pdf,Reinforcement Learning with Competitive  Ensembles of Information-Constrained Primitives,"Anirudh Goyal, Shagun Sodhani, Jonathan Binas, Xue Bin Peng, Sergey Levine, Yoshua Bengio",Accept (Poster),https://openreview.net/pdf?id=ryxgJTEYDr
ICLR,2020,a_closer_look_at_deep_policy_gradients__5dde00e2.pdf,A Closer Look at Deep Policy Gradients,"Andrew Ilyas, Logan Engstrom, Shibani Santurkar, Dimitris Tsipras, Firdaus Janoos, Larry Rudolph, Aleksander Madry",Accept (Talk),https://openreview.net/pdf?id=ryxdEkHtPS
ICLR,2020,a_metatransfer_objective_for_learning_to_disentangle_causal_mechanisms__beaf309c.pdf,A Meta-Transfer Objective for Learning to Disentangle Causal Mechanisms,"Yoshua Bengio, Tristan Deleu, Nasim Rahaman, Nan Rosemary Ke, Sebastien Lachapelle, Olexa Bilaniuk, Anirudh Goyal, Christopher Pal",Accept (Poster),https://openreview.net/pdf?id=ryxWIgBFPS
ICLR,2020,augmenting_noncollaborative_dialog_systems_with_explicit_semantic_and_strategic_dialog_history__6e537e7a.pdf,Augmenting Non-Collaborative Dialog Systems with Explicit Semantic and Strategic Dialog History,"Yiheng Zhou, Yulia Tsvetkov, Alan W Black, Zhou Yu",Accept (Poster),https://openreview.net/pdf?id=ryxQuANKPB
ICLR,2020,robust_training_with_ensemble_consensus__eded819c.pdf,Robust training with ensemble consensus,"Jisoo Lee, Sae-Young Chung",Accept (Poster),https://openreview.net/pdf?id=ryxOUTVYDH
ICLR,2020,gradient_ell_1_regularization_for_quantization_robustness__15e62759.pdf,Gradient $\ell_1$ Regularization for Quantization Robustness,"Milad Alizadeh, Arash Behboodi, Mart van Baalen, Christos Louizos, Tijmen Blankevoort, Max Welling",Accept (Poster),https://openreview.net/pdf?id=ryxK0JBtPr
ICLR,2020,distributionally_robust_neural_networks__8fbbe6e3.pdf,Distributionally Robust Neural Networks,"Shiori Sagawa*, Pang Wei Koh*, Tatsunori B. Hashimoto, Percy Liang",Accept (Poster),https://openreview.net/pdf?id=ryxGuJrFvS
ICLR,2020,infinitehorizon_differentiable_model_predictive_control__6460f7c6.pdf,Infinite-Horizon Differentiable Model Predictive Control,"Sebastian East, Marco Gallieri, Jonathan Masci, Jan Koutnik, Mark Cannon",Accept (Poster),https://openreview.net/pdf?id=ryxC6kSYPr
ICLR,2020,learning_to_coordinate_manipulation_skills_via_skill_behavior_diversification__6f5854bf.pdf,Learning to Coordinate Manipulation Skills via Skill Behavior Diversification,"Youngwoon Lee, Jingyun Yang, Joseph J. Lim",Accept (Poster),https://openreview.net/pdf?id=ryxB2lBtvH
