Conference,Year,Filename,Title,Authors,Category,PDF_URL
ICML,2016,no_oops_you_wont_do_it_again_mechanisms_for_selfcorrection_in_crowdsourcing__13a7fd68.pdf,"No Oops, You Won’t Do It Again: Mechanisms for Self-correction in Crowdsourcing","Nihar Shah, Dengyong Zhou",None,http://proceedings.mlr.press/v48/shaha16.pdf
ICML,2016,stochastically_transitive_models_for_pairwise_comparisons_statistical_and_computational_issues__5ce3857f.pdf,Stochastically Transitive Models for Pairwise Comparisons: Statistical and Computational Issues,"Nihar Shah, Sivaraman Balakrishnan, Aditya Guntuboyina, Martin Wainwright",None,http://proceedings.mlr.press/v48/shahb16.pdf
ICML,2016,uprooting_and_rerooting_graphical_models__89200e61.pdf,Uprooting and Rerooting Graphical Models,Adrian Weller,None,http://proceedings.mlr.press/v48/weller16.pdf
ICML,2016,a_deep_learning_approach_to_unsupervised_ensemble_learning__18512310.pdf,A Deep Learning Approach to Unsupervised Ensemble Learning,"Uri Shaham, Xiuyuan Cheng, Omer Dror, Ariel Jaffe, Boaz Nadler, Joseph Chang, Yuval Kluger",None,http://proceedings.mlr.press/v48/shaham16.pdf
ICML,2016,revisiting_semisupervised_learning_with_graph_embeddings__496b2d37.pdf,Revisiting Semi-Supervised Learning with Graph Embeddings,"Zhilin Yang, William Cohen, Ruslan Salakhudinov",None,http://proceedings.mlr.press/v48/yanga16.pdf
ICML,2016,guided_cost_learning_deep_inverse_optimal_control_via_policy_optimization__7fd747de.pdf,Guided Cost Learning: Deep Inverse Optimal Control via Policy Optimization,"Chelsea Finn, Sergey Levine, Pieter Abbeel",None,http://proceedings.mlr.press/v48/finn16.pdf
ICML,2016,diversitypromoting_bayesian_learning_of_latent_variable_models__990a1767.pdf,Diversity-Promoting Bayesian Learning of Latent Variable Models,"Pengtao Xie, Jun Zhu, Eric Xing",None,http://proceedings.mlr.press/v48/xiea16.pdf
ICML,2016,additive_approximations_in_high_dimensional_nonparametric_regression_via_the_salsa__8cef6280.pdf,Additive Approximations in High Dimensional Nonparametric Regression via the SALSA,"Kirthevasan Kandasamy, Yaoliang Yu",None,http://proceedings.mlr.press/v48/kandasamy16.pdf
ICML,2016,hawkes_processes_with_stochastic_excitations__abb3abda.pdf,Hawkes Processes with Stochastic Excitations,"Young Lee, Kar Wai Lim, Cheng Soon Ong",None,http://proceedings.mlr.press/v48/leea16.pdf
ICML,2016,datadriven_rank_breaking_for_efficient_rank_aggregation__8d881d19.pdf,Data-driven Rank Breaking for Efficient Rank Aggregation,"Ashish Khetan, Sewoong Oh",None,http://proceedings.mlr.press/v48/khetan16.pdf
ICML,2016,dropout_distillation__69e4b926.pdf,Dropout distillation,"Samuel Rota Bulò, Lorenzo Porzi, Peter Kontschieder",None,http://proceedings.mlr.press/v48/bulo16.pdf
