Conference,Year,Filename,Title,Authors,Category,PDF_URL
IJCAI,2021,distance_polymatrix_coordination_games__92840851.pdf,Distance Polymatrix Coordination Games,"Alessandro Aloisio, Michele Flammini, Bojana Kodric, Cosimo Vinci",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0001.pdf
IJCAI,2021,diversity_in_kemeny_rank_aggregation_a_parameterized_approach__5a98182f.pdf,Diversity in Kemeny Rank Aggregation: A Parameterized Approach,"Emmanuel Arrighi, Henning Fernau, Daniel Lokshtanov, Mateus de Oliveira Oliveira, Petra Wolf",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0002.pdf
IJCAI,2021,school_choice_with_flexible_diversity_goals_and_specialized_seats__9b9cc727.pdf,School Choice with Flexible Diversity Goals and Specialized Seats,"Haris Aziz, Zhaohong Sun",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0003.pdf
IJCAI,2021,propm_allocations_of_indivisible_goods_to_multiple_agents__8fea8013.pdf,PROPm Allocations of Indivisible Goods to Multiple Agents,"Artem Baklanov, Pranav Garimidi, Vasilis Gkatzelis, Daniel Schoepflin",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0004.pdf
IJCAI,2021,learning_within_an_instance_for_designing_highrevenue_combinatorial_auctions__7686f6d8.pdf,Learning Within an Instance for Designing High-Revenue Combinatorial Auctions,"Maria-Florina Balcan, Siddharth Prasad, Tuomas Sandholm",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0005.pdf
IJCAI,2021,combining_fairness_and_optimality_when_selecting_and_allocating_projects__f6f01422.pdf,Combining Fairness and Optimality when Selecting and Allocating Projects,"Khaled Belahcène, Vincent Mousseau, Anaëlle Wilczynski",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0006.pdf
IJCAI,2021,two_influence_maximization_games_on_graphs_made_temporal__cd6c6891.pdf,Two Influence Maximization Games on Graphs Made Temporal,"Niclas Boehmer, Vincent Froese, Julia Henkel, Yvonne Lasars, Rolf Niedermeier, Malte Renken",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0007.pdf
IJCAI,2021,winner_robustness_via_swap_and_shiftbribery_parameterized_counting_complexity_and_experiments__73e936a3.pdf,Winner Robustness via Swap- and Shift-Bribery: Parameterized  Counting Complexity and Experiments,"Niclas Boehmer, Robert Bredereck, Piotr Faliszewski, Rolf Niedermeier",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0008.pdf
IJCAI,2021,putting_a_compass_on_the_map_of_elections__f4bdc7c3.pdf,Putting a Compass on the Map of Elections,"Niclas Boehmer, Robert Bredereck, Piotr Faliszewski, Rolf Niedermeier, Stanisław Szufa",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0009.pdf
IJCAI,2021,loyalty_in_cardinal_hedonic_games__36dfe87a.pdf,Loyalty in Cardinal Hedonic Games,"Martin Bullinger, Stefan Kober",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0010.pdf
IJCAI,2021,approximating_the_shapley_value_using_stratified_empirical_bernstein_sampling__d6f18191.pdf,Approximating the Shapley Value Using Stratified Empirical Bernstein Sampling,"Mark A. Burgess, Archie C. Chapman",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0011.pdf
IJCAI,2021,picking_sequences_and_monotonicity_in_weighted_fair_division__423a56f8.pdf,Picking Sequences and Monotonicity in Weighted Fair Division,"Mithun Chakraborty, Ulrike Schmidt-Kraepelin, Warut Suksompong",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0012.pdf
IJCAI,2021,fractional_matchings_under_preferences_stability_and_optimality__0dbf7f87.pdf,Fractional Matchings under Preferences: Stability and Optimality,"Jiehua Chen, Sanjukta Roy, Manuel Sorge",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0013.pdf
IJCAI,2021,temporal_induced_selfplay_for_stochastic_bayesian_games__e2f7ef48.pdf,Temporal Induced Self-Play for Stochastic Bayesian Games,"Weizhe Chen, Zihan Zhou, Yi Wu, Fei Fang",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0014.pdf
IJCAI,2021,cooperation_in_threshold_public_projects_with_binary_actions__af131531.pdf,Cooperation in Threshold Public Projects with Binary Actions,"Yiling Chen, Biaoshuai Tao, Fang-Yi Yu",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0015.pdf
IJCAI,2021,learning_in_markets_greed_leads_to_chaos_but_following_the_price_is_right__cf5ab472.pdf,Learning in Markets: Greed Leads to Chaos but Following the Price is Right,"Yun Kuen Cheung, Stefanos Leonardos, Georgios Piliouras",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0016.pdf
IJCAI,2021,identifying_norms_from_observation_using_mcmc_sampling__4d565a67.pdf,Identifying Norms from Observation Using MCMC Sampling,"Stephen Cranefield, Ashish Dhiman",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0017.pdf
IJCAI,2021,improving_multiagent_coordination_by_learning_to_estimate_contention__7a2c5bc1.pdf,Improving Multi-agent Coordination by Learning to Estimate Contention,"Panayiotis Danassis, Florian Wiedemair, Boi Faltings",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0018.pdf
IJCAI,2021,multiagent_intention_progression_with_blackbox_agents__15fe4956.pdf,Multi-Agent Intention Progression with Black-Box Agents,"Michael Dann, Yuan Yao, Brian Logan, John Thangarajah",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0019.pdf
IJCAI,2021,the_parameterized_complexity_of_connected_fair_division__5cca1d59.pdf,The Parameterized Complexity of Connected Fair Division,"Argyrios Deligkas, Eduard Eiben, Robert Ganian, Thekla Hamm, Sebastian Ordyniak",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0020.pdf
IJCAI,2021,neural_regretmatching_for_distributed_constraint_optimization_problems__52aa28ca.pdf,Neural Regret-Matching for Distributed Constraint Optimization Problems,"Yanchen Deng, Runsheng Yu, Xinrun Wang, Bo An",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0021.pdf
IJCAI,2021,online_selection_of_diverse_committees__6928a983.pdf,Online Selection of Diverse Committees,"Virginie Do, Jamal Atif, Jérôme Lang, Nicolas Usunier",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0022.pdf
IJCAI,2021,graphical_cake_cutting_via_maximin_share__1fc0d047.pdf,Graphical Cake Cutting via Maximin Share,"Edith Elkind, Erel Segal-Halevi, Warut Suksompong",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0023.pdf
IJCAI,2021,keep_your_distance_land_division_with_separation__32ec3d2c.pdf,Keep Your Distance: Land Division With Separation,"Edith Elkind, Erel Segal-Halevi, Warut Suksompong",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0024.pdf
IJCAI,2021,on_a_competitive_secretary_problem_with_deferred_selections__026483fd.pdf,On a Competitive Secretary Problem with Deferred Selections,"Tomer Ezra, Michal Feldman, Ron Kupfer",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0025.pdf
IJCAI,2021,relaxed_core_stability_in_fractional_hedonic_games__1292185d.pdf,Relaxed Core Stability in Fractional Hedonic Games,"Angelo Fanelli, Gianpiero Monaco, Luca Moscardelli",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0026.pdf
IJCAI,2021,reasoning_over_argumentincomplete_aafs_in_the_presence_of_correlations__9ebfdd7a.pdf,Reasoning over Argument-Incomplete AAFs in the Presence of Correlations,"Bettina Fazzinga, Sergio Flesca, Filippo Furfaro",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0027.pdf
IJCAI,2021,kemeny_consensus_complexity__10e639f2.pdf,Kemeny Consensus Complexity,"Zack Fitzsimmons, Edith Hemaspaandra",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0028.pdf
IJCAI,2021,twosided_matching_meets_fair_division__73a8119c.pdf,Two-Sided Matching Meets Fair Division,"Rupert Freeman, Evi Micha, Nisarg Shah",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0029.pdf
IJCAI,2021,worstcase_bounds_on_power_vs_proportion_in_weighted_voting_games_with_application_to_falsename_manipulation__6260fd29.pdf,Worst-case Bounds on Power vs. Proportion in Weighted Voting Games with Application to False-name Manipulation,"Yotam Gafni, Ron Lavi, Moshe Tennenholtz",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0030.pdf
IJCAI,2021,even_more_effort_towards_improved_bounds_and_fixedparameter_tractability_for_multiwinner_rules__1009a10a.pdf,Even More Effort Towards Improved Bounds and Fixed-Parameter Tractability for Multiwinner Rules,"Sushmita Gupta, Pallavi Jain, Saket Saurabh, Nimrod Talmon",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0031.pdf
IJCAI,2021,fair_and_efficient_resource_allocation_with_partial_information__355ac500.pdf,Fair and Efficient Resource Allocation with Partial Information,"Daniel Halpern, Nisarg Shah",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0032.pdf
IJCAI,2021,accomplice_manipulation_of_the_deferred_acceptance_algorithm__7b6c1f08.pdf,Accomplice Manipulation of the Deferred Acceptance Algorithm,"Hadi Hosseini, Fatima Umar, Rohit Vaish",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2021/0033.pdf
