Conference,Year,Filename,Title,Authors,Category,PDF_URL
AAAI,2017,participatory_art_museum_collecting_and_modeling_crowd_opinions__eb1c8cf1.pdf,Participatory Art Museum: Collecting and Modeling Crowd Opinions,"Xiaoyu Zeng, Ruohan Zhang",Student Abstract Track,https://cdn.aaai.org/ojs/11072/11072-13-14600-1-2-20201228.pdf
AAAI,2017,enhancing_the_privacy_of_predictors__474cbe8c.pdf,Enhancing the Privacy of Predictors,"Ke Xu, Swair Shah, Tongyi Cao, Crystal Maung, Haim Schweitzer",Student Abstract Track,https://cdn.aaai.org/ojs/11087/11087-13-14615-1-2-20201228.pdf
AAAI,2017,highresolution_mobile_fingerprint_matching_via_deep_joint_knntriplet_embedding__73047161.pdf,High-Resolution Mobile Fingerprint Matching via Deep Joint KNN-Triplet Embedding,"Fandong Zhang, Jufu Feng",Student Abstract Track,https://cdn.aaai.org/ojs/11088/11088-13-14616-1-2-20201228.pdf
AAAI,2017,neuron_learning_machine_for_representation_learning__ef2904d7.pdf,Neuron Learning Machine for Representation Learning,"Jia Liu, Maoguo Gong, Qiguang Miao",Student Abstract Track,https://cdn.aaai.org/ojs/11085/11085-13-14613-1-2-20201228.pdf
AAAI,2017,an_advising_framework_for_multiagent_reinforcement_learning_systems__772ef10d.pdf,An Advising Framework for Multiagent Reinforcement Learning Systems,"Felipe Silva, Ruben Glatt, Anna Costa",Student Abstract Track,https://cdn.aaai.org/ojs/11086/11086-13-14614-1-2-20201228.pdf
AAAI,2017,natural_language_person_retrieval__e26dada5.pdf,Natural Language Person Retrieval,"Tao Zhou, Jie Yu",Student Abstract Track,https://cdn.aaai.org/ojs/11083/11083-13-14611-1-2-20201228.pdf
AAAI,2017,semantic_connection_based_topic_evolution__99a3b90c.pdf,Semantic Connection Based Topic Evolution,Jiamiao Wang,Student Abstract Track,https://cdn.aaai.org/ojs/11084/11084-13-14612-1-2-20201228.pdf
AAAI,2017,a_positionbiased_pagerank_algorithm_for_keyphrase_extraction__57ec9f7d.pdf,A Position-Biased PageRank Algorithm for Keyphrase Extraction,"Corina Florescu, Cornelia Caragea",Student Abstract Track,https://cdn.aaai.org/ojs/11082/11082-13-14610-1-2-20201228.pdf
AAAI,2017,coordinating_human_and_agent_behavior_in_collectiverisk_scenarios__55ffdb95.pdf,Coordinating Human and Agent Behavior in Collective-Risk Scenarios,"Elias Fernndez Domingos, Juan Burguillo, Ann Now, Tom Lenaerts",Student Abstract Track,https://cdn.aaai.org/ojs/11081/11081-13-14609-1-2-20201228.pdf
AAAI,2017,fast_electrical_demand_optimization_under_realtime_pricing__b608753e.pdf,Fast Electrical Demand Optimization Under Real-Time Pricing,"Shan He, Mark Wallace, Campbell Wilson, Ariel Liebman",Student Abstract Track,https://cdn.aaai.org/ojs/11089/11089-13-14617-1-2-20201228.pdf
