Conference,Year,Filename,Title,Authors,Category,PDF_URL
ICLR,2018,cold_fusion_training_seq2seq_models_together_with_language_models__0e0dbf2e.pdf,COLD FUSION: TRAINING SEQ2SEQ MODELS TOGETHER WITH LANGUAGE MODELS,"Anuroop Sriram, Heewoo Jun, Sanjeev Satheesh, Adam Coates",Invite to Workshop Track,https://openreview.net/pdf?id=rybAWfx0b
ICLR,2018,fast_and_accurate_text_classification_skimming_rereading_and_early_stopping__6d040ae0.pdf,"Fast and Accurate Text Classification: Skimming, Rereading and Early Stopping","Keyi Yu, Yang Liu, Alexander G. Schwing, Jian Peng",Invite to Workshop Track,https://openreview.net/pdf?id=ryZ8sz-Ab
ICLR,2018,beyond_finite_layer_neural_networks_bridging_deep_architectures_and_numerical_differential_equations__f82df3ba.pdf,Beyond Finite Layer Neural Networks: Bridging Deep Architectures and Numerical Differential Equations,"Yiping Lu, Aoxiao Zhong, Quanzheng Li, Bin Dong",Invite to Workshop Track,https://openreview.net/pdf?id=ryZ283gAZ
ICLR,2018,dlvm_a_modern_compiler_infrastructure_for_deep_learning_systems__c345f128.pdf,DLVM: A modern compiler infrastructure for deep learning systems,"Richard Wei, Lane Schwartz, Vikram Adve",Invite to Workshop Track,https://openreview.net/pdf?id=ryG6xZ-RZ
ICLR,2018,multiple_source_domain_adaptation_with_adversarial_learning__4b0fe2cd.pdf,Multiple Source Domain Adaptation with Adversarial Learning,"Han Zhao, Shanghang Zhang, Guanhang Wu, Jo\~{a}o  P. Costeira, Jos\'{e} M. F.  Moura, Geoffrey J. Gordon",Invite to Workshop Track,https://openreview.net/pdf?id=ryDNZZZAW
ICLR,2018,feature_incay_for_representation_regularization__2e929f8b.pdf,Feature Incay for Representation Regularization,"Yuhui Yuan, Kuiyuan Yang, Jianyuan Guo, Jingdong Wang, Chao Zhang",Invite to Workshop Track,https://openreview.net/pdf?id=ryALZdAT-
ICLR,2018,treetotree_neural_networks_for_program_translation__b109a19d.pdf,Tree-to-tree Neural Networks for Program Translation,"Xinyun Chen, Chang Liu, Dawn Song",Invite to Workshop Track,https://openreview.net/pdf?id=rkxY-sl0W
ICLR,2018,building_generalizable_agents_with_a_realistic_and_rich_3d_environment__a5bc933f.pdf,Building Generalizable Agents with a Realistic and Rich 3D Environment,"Yi Wu, Yuxin Wu, Georgia Gkioxari, Yuandong Tian",Invite to Workshop Track,https://openreview.net/pdf?id=rkaT3zWCZ
ICLR,2018,parametric_adversarial_divergences_are_good_task_losses_for_generative_modeling__b370a88e.pdf,Parametric Adversarial Divergences are Good Task Losses for Generative Modeling,"Gabriel Huang, Hugo Berard, Ahmed Touati, Gauthier Gidel, Pascal Vincent, Simon Lacoste-Julien",Invite to Workshop Track,https://openreview.net/pdf?id=rkEtzzWAb
ICLR,2018,variancebased_gradient_compression_for_efficient_distributed_deep_learning__e9bb78e8.pdf,Variance-based Gradient Compression for Efficient Distributed Deep Learning,"Yusuke Tsuzuku, Hiroto Imachi, Takuya Akiba",Invite to Workshop Track,https://openreview.net/pdf?id=rkEfPeZRb
ICLR,2018,convolutional_sequence_modeling_revisited__fbb93e1b.pdf,Convolutional Sequence Modeling Revisited,"Shaojie Bai, J. Zico Kolter, Vladlen Koltun",Invite to Workshop Track,https://openreview.net/pdf?id=rk8wKk-R-
ICLR,2018,intriguing_properties_of_adversarial_examples__156c61be.pdf,Intriguing Properties of Adversarial Examples,"Ekin Dogus Cubuk, Barret Zoph, Samuel Stern Schoenholz, Quoc V. Le",Invite to Workshop Track,https://openreview.net/pdf?id=rk6H0ZbRb
ICLR,2018,graph_partition_neural_networks_for_semisupervised_classification__66c699f1.pdf,Graph Partition Neural Networks for Semi-Supervised Classification,"Renjie Liao, Marc Brockschmidt, Daniel Tarlow, Alexander Gaunt, Raquel Urtasun, Richard S. Zemel",Invite to Workshop Track,https://openreview.net/pdf?id=rk4Fz2e0b
ICLR,2018,topicbased_question_generation__1fdee01d.pdf,Topic-Based Question Generation,"Wenpeng Hu, Bing Liu, Rui Yan, Dongyan Zhao, Jinwen Ma",Invite to Workshop Track,https://openreview.net/pdf?id=rk3pnae0b
ICLR,2018,empirical_analysis_of_the_hessian_of_overparametrized_neural_networks__63d9b5ba.pdf,Empirical Analysis of the Hessian of Over-Parametrized Neural Networks,"Levent Sagun, Utku Evci, V. Ugur Guney, Yann Dauphin, Leon Bottou",Invite to Workshop Track,https://openreview.net/pdf?id=rJrTwxbCb
ICLR,2018,adversarial_policy_gradient_for_alternating_markov_games__2ac34c73.pdf,Adversarial Policy Gradient for Alternating Markov Games,"Chao Gao, Martin Mueller, Ryan Hayward",Invite to Workshop Track,https://openreview.net/pdf?id=rJk51gJRb
ICLR,2018,autoregressive_generative_adversarial_networks__5480a6b2.pdf,Autoregressive Generative Adversarial Networks,"Yasin Yazici, Kim-Hui Yap, Stefan Winkler",Invite to Workshop Track,https://openreview.net/pdf?id=rJWrK9lAb
