Conference,Year,Filename,Title,Authors,Category,PDF_URL
IJCAI,2017,rationalisation_of_profiles_of_abstract_argumentation_frameworks_extended_abstract__012f0bbd.pdf,Rationalisation of Profiles of Abstract Argumentation Frameworks: Extended Abstract,"Stephane Airiau, Elise Bonzon, Ulle Endriss, Nicolas Maudet, Julien Rossit",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0665.pdf
IJCAI,2017,unsatisfiable_core_shrinking_for_anytime_answer_set_optimization__1438a43d.pdf,Unsatisfiable Core Shrinking for Anytime Answer Set Optimization,"Mario Alviano, Carmine Dodaro",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0666.pdf
IJCAI,2017,a_verified_sat_solver_framework_with_learn_forget_restart_and_incrementality__24814da8.pdf,"A Verified SAT Solver Framework with Learn, Forget, Restart, and Incrementality","Jasmin Christian Blanchette, Mathias Fleury, Christoph Weidenbach",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0667.pdf
IJCAI,2017,concerning_referring_expressions_in_query_answers__1d84e674.pdf,Concerning Referring Expressions in Query Answers,"Alexander Borgida, David Toman, Grant Weddell",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0668.pdf
IJCAI,2017,openworld_probabilistic_databases_an_abridged_report__ef6675e3.pdf,Open-World Probabilistic Databases: An Abridged Report,"Ismail Ilkan Ceylan, Adnan Darwiche, Guy Van den Broeck",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0669.pdf
IJCAI,2017,efficient_techniques_for_crowdsourced_topk_lists__47244b3a.pdf,Efficient Techniques for Crowdsourced Top-k Lists,"Luca de Alfaro, Vassilis Polychronopoulos, Neoklis Polyzotis",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0670.pdf
IJCAI,2017,predicting_human_similarity_judgments_with_distributional_models_the_value_of_word_associations__7263bf35.pdf,Predicting Human Similarity Judgments with Distributional Models: The Value of Word Associations,"Simon De Deyne, Amy Perfors, Daniel J. Navarro",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0671.pdf
IJCAI,2017,ensuring_rapid_mixing_and_low_bias_for_asynchronous_gibbs_sampling__e91262c0.pdf,Ensuring Rapid Mixing and Low Bias for Asynchronous Gibbs Sampling,"Christopher De Sa, Kunle Olukotun, Christopher Ré",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0672.pdf
IJCAI,2017,intuitionistic_layered_graph_logic__960387eb.pdf,Intuitionistic Layered Graph Logic,"Simon Docherty, David Pym",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0673.pdf
IJCAI,2017,userbased_opinionbased_recommendation__eeb5a6ea.pdf,User-Based Opinion-based Recommendation,"Ruihai Dong, Barry Smyth",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0674.pdf
IJCAI,2017,enhancing_crowdworkers_vigilance__e49b8042.pdf,Enhancing Crowdworkers' Vigilance,"Avshalom Elmalech, David Sarne, Esther David, Chen Hajaj",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0675.pdf
IJCAI,2017,lessons_from_the_amazon_picking_challenge_four_aspects_of_building_robotic_systems__40843b2d.pdf,Lessons from the Amazon Picking Challenge: Four Aspects of Building Robotic Systems,"Clemens Eppner, Sebastian Höfer, Rico Jonschkowski, Roberto Martín-Martín, Arne Sieverling, Vincent Wall, Oliver Brock",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0676.pdf
IJCAI,2017,lexicons_on_demand_neural_word_embeddings_for_largescale_text_analysis__f2153c11.pdf,Lexicons on Demand: Neural Word Embeddings for Large-Scale Text Analysis,"Ethan Fast, Binbin Chen, Michael S. Bernstein",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0677.pdf
IJCAI,2017,which_is_the_fairest_rent_division_of_them_all_extended_abstract__16aa86b3.pdf,Which is the Fairest (Rent Division) of Them All? [Extended Abstract],"Ya'akov (Kobi) Gal, Moshe Mash, Ariel D. Procaccia, Yair Zick",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0678.pdf
IJCAI,2017,using_constraint_programming_to_solve_a_cryptanalytic_problem__7df0aa0c.pdf,Using Constraint Programming to solve a Cryptanalytic Problem,"David Gerault, Marine Minier, Christine Solnon",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0679.pdf
IJCAI,2017,multitype_activity_recognition_from_a_robots_viewpoint__81721e57.pdf,Multi-Type Activity Recognition from a Robot's Viewpoint,"Ilaria Gori, J. K. Aggarwal, Larry Matthies, Michael. S. Ryoo",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0680.pdf
IJCAI,2017,model_accuracy_and_runtime_tradeoff_in_distributed_deep_learning_a_systematic_study__b06b180a.pdf,Model Accuracy and Runtime Tradeoff in Distributed Deep Learning: A Systematic Study,"Suyog Gupta, Wei Zhang, Fei Wang",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0681.pdf
IJCAI,2017,firstorder_modular_logic_programs_and_their_conservative_extensions_extended_abstract__948ae794.pdf,First-Order Modular Logic Programs and their Conservative Extensions (Extended Abstract),"Amelia Harrison, Yuliya Lierler",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0682.pdf
IJCAI,2017,solving_very_hard_problems_cubeandconquer_a_hybrid_sat_solving_method__b8c1a36c.pdf,"Solving Very Hard Problems: Cube-and-Conquer, a Hybrid SAT Solving Method","Marijn J.H. Heule, Oliver Kullmann, Victor W. Marek",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0683.pdf
IJCAI,2017,summary_multiagent_path_finding_with_kinematic_constraints__130c6fe2.pdf,Summary: Multi-Agent Path Finding with Kinematic Constraints,"Wolfgang Hönig, T. K. Satish Kumar, Liron Cohen, Hang Ma, Hong Xu, Nora Ayanian, Sven Koenig",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0684.pdf
IJCAI,2017,learning_and_applying_case_adaptation_rules_for_classification_an_ensemble_approach__a21a43c1.pdf,Learning and Applying Case Adaptation Rules for Classification: An Ensemble Approach,"Vahid Jalali, David Leake, Najmeh Forouzandehmehr",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0685.pdf
IJCAI,2017,an_endtoend_system_for_accomplishing_tasks_with_modular_robots_perspectives_for_the_ai_community__c0b51587.pdf,An End-to-End System for Accomplishing Tasks with Modular Robots: Perspectives for the AI community,"Gangyuan Jing, Tarik Tosun, Mark Yim, Hadas Kress-Gazit",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0686.pdf
IJCAI,2017,blockedness_in_propositional_logic_are_you_satisfied_with_your_neighborhood__b4510a46.pdf,Blockedness in Propositional Logic: Are You Satisfied With Your Neighborhood?,"Benjamin Kiesl, Martina Seidl, Hans Tompits, Armin Biere",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0687.pdf
IJCAI,2017,on_thompson_sampling_and_asymptotic_optimality__08466159.pdf,On Thompson Sampling and Asymptotic Optimality,"Jan Leike, Tor Lattimore, Laurent Orseau, Marcus Hutter",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0688.pdf
IJCAI,2017,a_sat_approach_to_branchwidth__b758c04a.pdf,A SAT Approach to Branchwidth,"Neha Lodha, Sebastian Ordyniak, Stefan Szeider",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0689.pdf
IJCAI,2017,selfadjusting_memory_how_to_deal_with_diverse_drift_types__ed546940.pdf,Self-Adjusting Memory: How to Deal with Diverse Drift Types,"Viktor Losing, Barbara  Hammer, Heiko Wersing",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0690.pdf
IJCAI,2017,competence_guided_model_for_casebase_maintenance__745c8b6c.pdf,Competence Guided Model for Casebase Maintenance,"Ditty Mathew, Sutanu Chakraborti",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0691.pdf
IJCAI,2017,the_many_benefits_of_annotator_rationales_for_relevance_judgments__9d32dd14.pdf,The Many Benefits of Annotator Rationales for Relevance Judgments,"Tyler McDonnell, Mucahid Kutlu, Tamer Elsayed, Matthew Lease",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0692.pdf
IJCAI,2017,dynamical_systembased_motion_planning_for_multiarm_systems_reaching_for_moving_objects__2a7a58ad.pdf,Dynamical System-Based Motion Planning for Multi-Arm Systems: Reaching for Moving Objects,"Seyed Sina Mirrazavi Salehian, Nadia Figueroa, Aude Billard",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0693.pdf
IJCAI,2017,ksp_a_resolutionbased_prover_for_multimodal_k_abridged_report__47d1682d.pdf,"KSP: A Resolution-based Prover for Multimodal K, Abridged Report","Cláudia Nalon, Ullrich Hustadt, Clare Dixon",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0694.pdf
IJCAI,2017,nanocop_natural_nonclausal_theorem_proving__76e88b46.pdf,nanoCoP: Natural Non-clausal Theorem Proving,Jens Otten,Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0695.pdf
IJCAI,2017,grounding_abstract_spatial_concepts_for_language_interaction_with_robots__398ca03c.pdf,Grounding Abstract Spatial Concepts for Language Interaction with Robots,"Rohan Paul, Jacob Arkin, Nicholas Roy, Thomas M. Howard",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0696.pdf
IJCAI,2017,adapting_deep_network_features_to_capture_psychological_representations_an_abridged_report__68ff6fdf.pdf,Adapting Deep Network Features to Capture Psychological Representations: An Abridged Report,"Joshua C. Peterson, Joshua T. Abbott, Thomas L. Griffiths",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0697.pdf
IJCAI,2017,evaluating_market_user_interfaces_for_electric_vehicle_charging_using_bid2charge__d8fd673d.pdf,Evaluating Market User Interfaces for Electric Vehicle Charging using Bid2Charge,"Sebastian Stein, Enrico H. Gerding, Adrian Nedea, Avi Rosenfeld, Nicholas R. Jennings",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0698.pdf
IJCAI,2017,local_topic_discovery_via_boosted_ensemble_of_nonnegative_matrix_factorization__d9d0fc56.pdf,Local Topic Discovery via Boosted Ensemble of Nonnegative Matrix Factorization,"Sangho Suh, Jaegul Choo, Joonseok Lee, Chandan K. Reddy",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0699.pdf
IJCAI,2017,value_iteration_networks__147a26b6.pdf,Value Iteration Networks,"Aviv Tamar, Yi Wu, Garrett Thomas, Sergey Levine, Pieter Abbeel",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0700.pdf
IJCAI,2017,idual_solving_constrained_ssps_via_heuristic_search_in_the_dual_space__ddc109f8.pdf,I-dual: Solving Constrained SSPs via Heuristic Search in the Dual Space,"Felipe Trevizan, Sylvie Thiebaux, Pedro Santana, Brian Williams",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0701.pdf
IJCAI,2017,maximizing_awareness_about_hiv_in_social_networks_of_homeless_youth_with_limited_information__5a1ff4e3.pdf,Maximizing Awareness about HIV in Social Networks of Homeless Youth with Limited Information,"Amulya Yadav, Hau Chan, Albert Xin Jiang, Haifeng Xu, Eric Rice, Milind Tambe",Best Sister Conferences,https://www.ijcai.org/proceedings/2017/0702.pdf
IJCAI,2017,robust_multilingual_named_entity_recognition_with_shallow_semisupervised_features_extended_abstract__b793095c.pdf,Robust Multilingual Named Entity Recognition with Shallow Semi-supervised Features (Extended Abstract),"Rodrigo Agerri, German Rigau",Journal track,https://www.ijcai.org/proceedings/2017/0703.pdf
IJCAI,2017,automatic_description_generation_from_images_a_survey_of_models_datasets_and_evaluation_measures_extended_abstract__b94309d4.pdf,"Automatic Description Generation from Images: A Survey of Models, Datasets, and Evaluation Measures (Extended  Abstract)","Raffaella Bernardi, Ruket Cakici, Desmond Elliott, Aykut Erdem, Erkut Erdem, Nazli Ikizler-Cinbis, Frank Keller, Adrian Muscat, Barbara Plank",Journal track,https://www.ijcai.org/proceedings/2017/0704.pdf
IJCAI,2017,a_new_semantics_for_overriding_in_description_logics_extended_abstract__94db009a.pdf,A New Semantics for Overriding in Description Logics (Extended Abstract),"Piero Bonatti, Marco Faella, Iliana M. Petrova, Luigi Sauro",Journal track,https://www.ijcai.org/proceedings/2017/0705.pdf
IJCAI,2017,on_minimum_representations_of_matched_formulas_extended_abstract__eb8c6619.pdf,On Minimum Representations of Matched Formulas (Extended Abstract),"Ondřej Čepek, Štefan Gurský, Petr Kučera",Journal track,https://www.ijcai.org/proceedings/2017/0706.pdf
IJCAI,2017,efficient_mechanism_design_for_online_scheduling_extended_abstract__9c7f9589.pdf,Efficient Mechanism Design for Online Scheduling (Extended Abstract),"Xujin Chen, Xiaodong Hu, Tie-Yan Liu, Weidong Ma, Tao Qin, Pingzhong Tang, Changjun Wang, Bo Zheng",Journal track,https://www.ijcai.org/proceedings/2017/0707.pdf
IJCAI,2017,bayesian_network_structure_learning_with_integer_programming_polytopes_facets_and_complexity_extended_abstract__0e6d2bef.pdf,"Bayesian Network Structure Learning with Integer Programming: Polytopes, Facets and Complexity (Extended Abstract)","James Cussens, Matti Järvisalo, Janne H. Korhonen, Mark Bartlett",Journal track,https://www.ijcai.org/proceedings/2017/0708.pdf
IJCAI,2017,coherent_predictive_inference_under_exchangeability_with_imprecise_probabilities_extended_abstract__0e747463.pdf,Coherent Predictive Inference under Exchangeability with Imprecise Probabilities (Extended Abstract),"Gert de Cooman, Jasper De Bock, Márcio Alves Diniz",Journal track,https://www.ijcai.org/proceedings/2017/0709.pdf
