Conference,Year,Filename,Title,Authors,Category,PDF_URL
NeurIPS,2023,gigastep__one_billion_steps_per_second_multiagent_reinforcement_learning__a42bf7cb.pdf,Gigastep - One Billion Steps per Second Multi-agent Reinforcement Learning,"Mathias Lechner, lianhao yin, Tim Seyde, Tsun-Hsuan Johnson Wang, Wei Xiao, Ramin Hasani, Joshua Rountree, Daniela Rus",None,https://proceedings.neurips.cc/paper_files/paper/2023/file/00ba06ba5c324efdfb068865ca44cf0b-Abstract-Datasets_and_Benchmarks.html
NeurIPS,2023,popsign_asl_v10_an_isolated_american_sign_language_dataset_collected_via_smartphones__a41dda34.pdf,PopSign ASL v1.0: An Isolated American Sign Language Dataset Collected via Smartphones,"Thad Starner, Sean Forbes, Matthew So, David Martin, Rohit Sridhar, Gururaj Deshpande, Sam Sepah, Sahir Shahryar, Khushi Bhardwaj, Tyler Kwok, Daksh Sehgal, Saad Hassan, Bill Neubauer, Sofia Vempala, Alec Tan, Jocelyn Heath, Unnathi Kumar, Priyanka Mosur, Tavenner Hall, Rajandeep Singh, Christopher Cui, Glenn Cameron, Sohier Dane, Garrett Tanzer",None,https://proceedings.neurips.cc/paper_files/paper/2023/file/00dada608b8db212ea7d9d92b24c68de-Abstract-Datasets_and_Benchmarks.html
NeurIPS,2023,bubbleml_a_multiphase_multiphysics_dataset_and_benchmarks_for_machine_learning__33bc663c.pdf,BubbleML: A Multiphase Multiphysics Dataset and Benchmarks for Machine Learning,"Sheikh Md Shakeel Hassan, Arthur Feeney, Akash Dhruv, Jihoon Kim, Youngjoon Suh, Jaiyoung Ryu, Yoonjin Won, Aparna Chandramowlishwaran",None,https://proceedings.neurips.cc/paper_files/paper/2023/file/01726ae05d72ddba3ac784a5944fa1ef-Abstract-Datasets_and_Benchmarks.html
NeurIPS,2023,allsim_simulating_and_benchmarking_resource_allocation_policies_in_multiuser_systems__3f31817e.pdf,AllSim: Simulating and Benchmarking Resource Allocation Policies in Multi-User Systems,"Jeroen Berrevoets, Daniel Jarrett, Alex Chan, Mihaela van der Schaar",None,https://proceedings.neurips.cc/paper_files/paper/2023/file/0296e17ec30fc36007edaaa2f96b5f17-Abstract-Datasets_and_Benchmarks.html
NeurIPS,2023,wyze_rule_federated_rule_dataset_for_rule_recommendation_benchmarking__706272e8.pdf,Wyze Rule: Federated Rule Dataset for Rule Recommendation Benchmarking,"Mohammad Mahdi Kamani, Yuhang Yao, Hanjia Lyu, Zhongwei Cheng, Lin Chen, Liangju Li, Carlee Joe-Wong, Jiebo Luo",None,https://proceedings.neurips.cc/paper_files/paper/2023/file/02b9d1e6d1b5295a6f883969ddc1bbbd-Abstract-Datasets_and_Benchmarks.html
NeurIPS,2023,uncovering_neural_scaling_laws_in_molecular_representation_learning__bd35e261.pdf,Uncovering Neural Scaling Laws in Molecular Representation Learning,"Dingshuo Chen, Yanqiao Zhu, Jieyu Zhang, Yuanqi Du, Zhixun Li, Qiang Liu, Shu Wu, Liang Wang",None,https://proceedings.neurips.cc/paper_files/paper/2023/file/052e22cfdd344c79634f7ec76fa03e22-Abstract-Datasets_and_Benchmarks.html
NeurIPS,2023,mathcalm4_a_unified_xai_benchmark_for_faithfulness_evaluation_of_feature_attribution_methods_across_metrics_modalities_and_models__285a2deb.pdf,"$\mathcal{M}^4$: A Unified XAI Benchmark for Faithfulness Evaluation of Feature Attribution Methods across Metrics, Modalities and Models","Xuhong Li, Mengnan Du, Jiamin Chen, Yekun Chai, Himabindu Lakkaraju, Haoyi Xiong",None,https://proceedings.neurips.cc/paper_files/paper/2023/file/05957c194f4c77ac9d91e1374d2def6b-Abstract-Datasets_and_Benchmarks.html
NeurIPS,2023,bullying10k_a_largescale_neuromorphic_dataset_towards_privacypreserving_bullying_recognition__c0b35ca9.pdf,Bullying10K: A Large-Scale Neuromorphic Dataset towards Privacy-Preserving Bullying Recognition,"Yiting Dong, Yang Li, Dongcheng Zhao, Guobin Shen, Yi Zeng",None,https://proceedings.neurips.cc/paper_files/paper/2023/file/05ffe69463062b7f9fb506c8351ffdd7-Abstract-Datasets_and_Benchmarks.html
NeurIPS,2023,temporal_graph_benchmark_for_machine_learning_on_temporal_graphs__bed463d1.pdf,Temporal Graph Benchmark for Machine Learning on Temporal Graphs,"Shenyang Huang, Farimah Poursafaei, Jacob Danovitch, Matthias Fey, Weihua Hu, Emanuele Rossi, Jure Leskovec, Michael Bronstein, Guillaume Rabusseau, Reihaneh Rabbany",None,https://proceedings.neurips.cc/paper_files/paper/2023/file/066b98e63313162f6562b35962671288-Abstract-Datasets_and_Benchmarks.html
NeurIPS,2023,synthcity_a_benchmark_framework_for_diverse_use_cases_of_tabular_synthetic_data__121a3830.pdf,Synthcity: a benchmark framework for diverse use cases of tabular synthetic data,"Zhaozhi Qian, Rob Davis, Mihaela van der Schaar",None,https://proceedings.neurips.cc/paper_files/paper/2023/file/09723c9f291f6056fd1885081859c186-Abstract-Datasets_and_Benchmarks.html
